<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,18/10/18,17:09,114080.0,114160.0,114070.0,114160.0,278
SPFB.RTS-12.18,1,18/10/18,17:10,114160.0,114160.0,114030.0,114060.0,483
SPFB.RTS-12.18,1,18/10/18,17:11,114040.0,114080.0,114000.0,114070.0,788
SPFB.RTS-12.18,1,18/10/18,17:12,114070.0,114130.0,114050.0,114100.0,389
SPFB.RTS-12.18,1,18/10/18,17:13,114100.0,114100.0,113990.0,114030.0,538
SPFB.RTS-12.18,1,18/10/18,17:14,114040.0,114060.0,114000.0,114000.0,558
SPFB.RTS-12.18,1,18/10/18,17:15,114000.0,114100.0,113980.0,114090.0,581
SPFB.RTS-12.18,1,18/10/18,17:16,114080.0,114110.0,114030.0,114070.0,543
SPFB.RTS-12.18,1,18/10/18,17:17,114060.0,114150.0,114060.0,114120.0,363
SPFB.RTS-12.18,1,18/10/18,17:18,114120.0,114190.0,114120.0,114180.0,383
SPFB.RTS-12.18,1,18/10/18,17:19,114190.0,114270.0,114190.0,114240.0,730
SPFB.RTS-12.18,1,18/10/18,17:20,114220.0,114230.0,114180.0,114230.0,300
SPFB.RTS-12.18,1,18/10/18,17:21,114210.0,114320.0,114200.0,114300.0,837
SPFB.RTS-12.18,1,18/10/18,17:22,114300.0,114320.0,114280.0,114290.0,1094
SPFB.RTS-12.18,1,18/10/18,17:23,114290.0,114300.0,114220.0,114250.0,1292
SPFB.RTS-12.18,1,18/10/18,17:24,114250.0,114350.0,114220.0,114340.0,870
SPFB.RTS-12.18,1,18/10/18,17:25,114350.0,114360.0,114260.0,114270.0,406
SPFB.RTS-12.18,1,18/10/18,17:26,114280.0,114340.0,114280.0,114300.0,805
SPFB.RTS-12.18,1,18/10/18,17:27,114310.0,114310.0,114240.0,114280.0,433
SPFB.RTS-12.18,1,18/10/18,17:28,114270.0,114290.0,114270.0,114270.0,290
SPFB.RTS-12.18,1,18/10/18,17:29,114270.0,114330.0,114260.0,114310.0,284
SPFB.RTS-12.18,1,18/10/18,17:30,114310.0,114360.0,114300.0,114330.0,397
SPFB.RTS-12.18,1,18/10/18,17:31,114320.0,114400.0,114320.0,114340.0,868
SPFB.RTS-12.18,1,18/10/18,17:32,114350.0,114470.0,114340.0,114450.0,1259
SPFB.RTS-12.18,1,18/10/18,17:33,114440.0,114460.0,114390.0,114420.0,776
SPFB.RTS-12.18,1,18/10/18,17:34,114410.0,114480.0,114410.0,114420.0,853
SPFB.RTS-12.18,1,18/10/18,17:35,114430.0,114490.0,114400.0,114440.0,696
SPFB.RTS-12.18,1,18/10/18,17:36,114450.0,114540.0,114450.0,114480.0,1075
SPFB.RTS-12.18,1,18/10/18,17:37,114470.0,114520.0,114420.0,114420.0,621
SPFB.RTS-12.18,1,18/10/18,17:38,114420.0,114510.0,114420.0,114460.0,587
SPFB.RTS-12.18,1,18/10/18,17:39,114470.0,114500.0,114450.0,114470.0,380
SPFB.RTS-12.18,1,18/10/18,17:40,114460.0,114490.0,114450.0,114480.0,332
SPFB.RTS-12.18,1,18/10/18,17:41,114480.0,114530.0,114470.0,114490.0,569
SPFB.RTS-12.18,1,18/10/18,17:42,114490.0,114520.0,114380.0,114390.0,1450
SPFB.RTS-12.18,1,18/10/18,17:43,114420.0,114440.0,114360.0,114400.0,968
SPFB.RTS-12.18,1,18/10/18,17:44,114420.0,114460.0,114390.0,114400.0,418
SPFB.RTS-12.18,1,18/10/18,17:45,114390.0,114440.0,114390.0,114390.0,328
